origin_country,region
United States,North America
China,Southeast Asia
Germany,Western Europe
Japan,Southeast Asia
United Kingdom,Western Europe
Brazil,South America
France,Western Europe
Italy,Western Europe
Spain,Western Europe
Canada,North America
India,Southeast Asia
South Korea,Southeast Asia
Iran,Middle east
Turkey,Eastern Europe
Australia,Oceania
Netherlands,Western Europe
Poland,Eastern Europe
Taiwan,Southeast Asia
Russia,Eastern Europe
Switzerland,Western Europe
Sweden,Western Europe
Belgium,Western Europe
Israel,Middle east
Czech Republic,Eastern Europe
Austria,Western Europe
Greece,Western Europe
Denmark,Western Europe
Finland,Western Europe
Romania,Eastern Europe
Portugal,Western Europe
Mexico,North America
Thailand,Southeast Asia
Malaysia,Southeast Asia
Norway,Western Europe
Ireland,Western Europe
Singapore,Southeast Asia
Egypt,Africa
Argentina,South America
South Africa,Africa
Hungary,Eastern Europe
Serbia,Eastern Europe
Pakistan,Southeast Asia
Chile,South America
New Zealand,Oceania
Croatia,Eastern Europe
Ukraine,Eastern Europe
Slovakia,Eastern Europe
Algeria,Africa
Lithuania,Eastern Europe
Slovenia,Eastern Europe
Colombia,South America
Bulgaria,Eastern Europe
Nigeria,Africa
Saudi Arabia,Middle east
Estonia,Eastern Europe
Tunisia,Africa
Indonesia,Southeast Asia
Jordan,Middle east
Philippines,Southeast Asia
Latvia,Eastern Europe
Vietnam,Southeast Asia
Lebanon,Middle east
Morocco,Africa
Bosnia and Herzegovina,Eastern Europe
Iceland,Western Europe
Uganda,Africa
Uruguay,South America
Bangladesh,Southeast Asia
Kenya,Africa
Cameroon,Africa
Ghana,Africa
Luxembourg,Western Europe
United Arab Emirates,Middle east
Cyprus,Western Europe
Armenia,Middle east
Sri Lanka,Southeast Asia
Albania,Eastern Europe
Kuwait,Middle east
Ethiopia,Africa
Belarus,Eastern Europe
Tanzania,Africa
Costa Rica,South America
Oman,Middle east
Senegal,Africa
Moldova,Eastern Europe
Zimbabwe,Africa
Iraq,Middle east
Jamaica,South America
Azerbaijan,Middle east
Ecuador,South America
Georgia,Middle east
Kazakhstan,Middle east
Malta,Western Europe
Congo-Kinshasa,Africa
Papua New Guinea,Southeast Asia
Qatar,Middle east
Mauritius,Africa
Botswana,Africa
Palestine,Middle east
Togo,Africa
Cambodia,Southeast Asia
Mozambique,Africa
Peru,South America
Mongolia,Southeast Asia
Namibia,Africa
Laos,Southeast Asia
Liechtenstein,Western Europe
Cabo Verde,Africa
Cuba,South America
Kosovo,Eastern Europe
Rwanda,Africa
North Macedonia,Eastern Europe